Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25°C) (uS/cm),Salinity (Sal),Temperature (°C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU) (CFU/100 ml),Fecal Coliforms (CFU) (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU) (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Free Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),Year,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml),Location,Month,Month_Name,Season,DO_Status
Cotagaita,BCO-070,2022-08-15,15:25,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,20 49 16.506,65 40 8.868,-20.8213,-65.6691,1.529,5.0,626.0,154.6,7.93,-65.3,1598.0,0.8,17.4,7.12,102.8,94.1,1668.0,1550.0,116.0,2.0,722.0,1.5,4.5,36.9,878.4,96.63,115.83,60.6,7.7,98.16,117.27,60.6,7.7,0.25,0.18,3.13,0.01,1.64,4.3,2.5,1.0,,,,,,,5.0,5.0,5.0,5.0,2.5,721.0,67.0,5.0,117.0,5.0,2.5,5.0,5.0,5.0,64.0,1760.0,5.0,2.5,863.0,72.0,27.0,225.0,13.0,2.5,5.0,5.0,5.0,2904.0,1778.0,5.0,,0.001,0.0005,0.057,0.05,,,931.03,,112.07,,155.17,,232.76,,24482.76,1224.14,43.1,,2022,,,,,,121.0,78.0,,1.0,,,,Potosi,8,August,Winter (Dry),Oxic
Tumusla,BTU-080,2022-08-15,13:20,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,20 29 14.94,65 37 2.898,-20.4875,-65.6175,1.305,7.0,1527.0,160.6,8.31,-84.2,654.0,0.2,14.7,7.79,105.5,82.7,554.0,500.0,97.0,9.0,232.0,10.0,107.5,32.7,189.9,29.0,28.52,43.8,6.0,33.89,28.9,43.6,6.3,0.43,0.25,0.66,0.01,1.4,3.6,2.5,1.0,,,,,,,5.0,5.0,5.0,5.0,2.5,24.0,2.5,5.0,5.0,5.0,2.5,5.0,5.0,5.0,118.0,810.0,5.0,7.0,101.0,6.0,5.0,90.0,5.0,2.5,5.0,5.0,5.0,3552.0,892.0,5.0,,0.001,0.001,0.062,0.05,,,927.84,,,,845.36,,,72.16,35402.06,793.81,61.86,,2022,,,,,,180.0,40.0,,1.0,,,,Potosi,8,August,Winter (Dry),Oxic
Potosí - Naciente río La Ribera,BNR-010,2022-08-14,14:45,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,"19° 35' 51.618""","65° 43' 52.602""",-19.5977,-65.7313,,,5020.0,112.8,7.61,-47.9,199.2,0.0,11.9,5.82,90.3,4.79,120.0,114.0,1.0,7.0,84.0,5.0,84.0,3.7,8.5,19.53,2.28,5.6,3.4,26.27,2.67,6.6,4.3,0.09,0.06,0.19,0.01,2.5,2.9,2.5,1.0,,,,,,,5.0,5.0,5.0,5.0,2.5,175.0,2.5,5.0,42.0,5.0,2.5,5.0,5.0,5.0,1189.0,125.0,5.0,2.5,179.0,2.5,5.0,619.0,5.0,2.5,5.0,5.0,5.0,2737.0,134.0,5.0,,0.001,0.0005,,,,,577000.0,,,,9000.0,,,,1548000.0,4000.0,,,2022,,,,,,88.0,3.0,,1.0,9.0,,,Potosi,8,August,Winter (Dry),Oxic
Viña Quemada,BVQ-122,2022-08-13,12:55,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,19 24 25.698,64 51 49.956,-19.4071,-64.8639,0.947,19.0,812.0,190.9,8.66,-102.2,1231.0,0.6,16.5,8.93,117.0,25.0,766.0,760.0,3.0,6.0,296.0,12.0,144.0,194.0,227.6,45.55,30.39,140.8,9.8,56.14,31.86,146.7,12.2,0.34,0.25,0.8,0.08,2.38,4.3,,1.0,,,,,,,5.0,5.0,5.0,5.0,2.5,35.0,2.5,5.0,176.0,5.0,2.5,5.0,5.0,5.0,108.0,722.0,5.0,2.5,125.0,2.5,10.0,207.0,5.0,2.5,5.0,5.0,5.0,570.0,785.0,5.0,,0.001,0.001,0.055,0.05,,,10333.33,,,,21000.0,,3333.33,,154000.0,30000.0,,,2022,,,,,,,,,1.0,,,,Potosi,8,August,Winter (Dry),Oxic
Colavi - Canutillos,BC7-113,2022-08-11,10:25,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 17.112,65 33 6.738,-19.3214,-65.5519,0.236,0.0,3840.0,137.1,4.29,124.6,261.0,0.0,6.2,8.06,100.3,53.4,210.0,176.0,16.0,14.0,88.0,0.05,2.5,2.6,111.2,15.34,10.7,1.1,1.2,15.43,10.9,1.7,1.3,0.34,0.34,1.47,0.01,1.03,5.7,2.5,45.0,,,,,,,5.0,5.0,5.0,5.0,2.5,3166.0,17.0,291.0,864.0,5.0,2.5,5.0,5.0,5.0,616.0,35.0,5.0,2.5,3175.0,16.0,293.0,899.0,5.0,5.0,5.0,5.0,5.0,10611.0,53.0,5.0,,0.001,0.0005,0.045,0.05,,,2187.5,,,,1125.0,312.5,125.0,,624687.5,562.5,,,2022,,,,,,0.0,0.0,,19.0,20.0,,,Potosi,8,August,Winter (Dry),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2022-08-10,13:35,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,19 8 39.144,65 33 57.822,-19.1442,-65.5661,1.516,1.0,2050.0,148.4,8.49,-94.3,488.0,0.2,19.1,6.61,100.2,69.1,360.0,348.0,27.0,11.0,232.0,6.5,127.5,3.8,145.0,29.04,29.09,10.6,4.8,35.47,31.22,11.3,4.7,0.25,0.21,0.44,0.01,0.005,11.3,2.5,1.0,,,,,,,5.0,5.0,5.0,5.0,2.5,443.0,2.5,5.0,124.0,5.0,2.5,5.0,5.0,5.0,57.0,100.0,5.0,2.5,625.0,2.5,62.0,331.0,5.0,2.5,5.0,5.0,5.0,4459.0,110.0,5.0,,0.001,0.0005,0.09,0.05,,,7666.67,,,,370.37,,2296.3,,163037.04,6740.74,,,2022,,,,,,10.0,0.0,,1.0,4.0,,,Potosi,8,August,Winter (Dry),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2022-08-10,11:30,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,19 7 56.1,65 34 19.902,-19.1322,-65.5722,1.71,12.0,1145.0,158.9,8.32,-83.9,874.0,0.4,12.0,8.15,105.3,57.8,618.0,562.0,59.0,1.0,176.0,2.5,111.5,134.6,119.4,34.48,14.18,98.0,9.2,43.12,14.72,99.2,9.0,0.52,0.46,0.91,0.48,7.66,8.5,2.5,1.0,,,,,,,5.0,5.0,5.0,5.0,2.5,236.0,2.5,5.0,295.0,11.0,2.5,5.0,5.0,5.0,1276.0,1220.0,5.0,2.5,326.0,2.5,18.0,778.0,34.0,2.5,5.0,5.0,5.0,1601.0,1225.0,5.0,,0.001,0.004,0.084,0.05,,,8186.44,,389.83,,84.75,,305.08,,5508.47,1525.42,,,2022,,,,,,220.0,180.0,,1.0,80.0,,,Potosi,8,August,Winter (Dry),Oxic
Yocalla,BYO-025,2022-08-09,15:30,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 1,19 23 51.624,65 54 28.05,-19.3977,-65.9078,1.157,5.0,1457.0,142.5,8.28,-84.0,686.0,0.3,12.8,7.21,102.1,30.1,414.0,410.0,15.0,4.0,84.0,1.5,54.5,144.9,53.5,20.03,3.94,93.0,5.8,20.4,4.19,96.7,5.9,0.25,0.25,0.17,0.01,1.57,11.3,2.5,1.0,,,,,,,5.0,5.0,5.0,5.0,2.5,5.0,2.5,5.0,58.0,5.0,2.5,5.0,5.0,5.0,350.0,812.0,5.0,2.5,56.0,2.5,17.0,162.0,5.0,2.5,5.0,5.0,5.0,382.0,889.0,5.0,,0.001,0.001,0.087,0.05,,,6933.33,,,,5133.33,,1133.33,,2133.33,3733.33,,,2022,,,,,,40.0,2.0,,1.0,2.0,,,Potosi,8,August,Winter (Dry),Oxic
Tarapaya,BTA-050,2022-08-09,11:20,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.666""","65° 47' 39.552""",-19.4719,-65.7943,0.84,2.0,1261.0,128.6,7.83,-62.0,792.0,0.3,6.9,7.44,90.8,91.2,592.0,524.0,74.0,35.0,220.0,0.05,89.0,51.9,239.7,52.85,8.2,45.5,11.5,54.26,8.61,46.6,11.9,0.52,0.43,22.89,0.08,22.58,14.1,23.0,28.0,,,,,,,5.0,5.0,5.0,5.0,2.5,660.0,2.5,23.0,1366.0,23.0,2.5,5.0,5.0,5.0,237.0,219.0,5.0,6.0,807.0,2.5,83.0,3501.0,110.0,12.0,52.0,5.0,5.0,7452.0,233.0,5.0,,0.127,0.005,0.046,,,,28851.35,547.3,1175.68,,189.19,162.16,810.81,81.08,97500.0,1986.49,,,2022,,,,,,780.0,620.0,,14.0,0.0,,,Potosi,8,August,Winter (Dry),Oxic
San Antonio - Potosí,BSA-030,2022-08-09,9:00,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,19 34 41.478,65 48 12.21,-19.5782,-65.8034,1.184,1.0,842.0,135.3,7.61,-49.0,1186.0,0.5,3.1,8.62,97.8,183.0,918.0,712.0,181.0,68.0,280.0,0.05,144.5,76.5,346.2,72.12,12.41,68.4,28.0,75.65,13.83,70.2,28.2,0.58,0.46,44.75,0.01,65.04,12.0,69.0,89.0,,,,,,,5.0,5.0,5.0,5.0,2.5,1493.0,18.0,45.0,3521.0,5.0,11.0,5.0,5.0,5.0,1401.0,281.0,5.0,2.5,1771.0,21.0,258.0,9774.0,151.0,33.0,17.0,5.0,5.0,17795.0,322.0,5.0,,0.133,0.012,0.081,0.05,,,34546.96,,834.25,,226.52,121.55,1176.8,,90574.59,1535.91,16.57,,2022,,,,,,810.0,720.0,,31.0,14.0,,,Potosi,8,August,Winter (Dry),Oxic
Tarapaya,BTA-050,2022-05-26,15:20,May 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.726,65 47 39.684,-19.4719,-65.7944,0.535,2.0,1604.0,128.0,7.45,-33.3,623.0,0.2,12.5,6.5,91.5,118.0,434.0,390.0,55.0,,148.4,0.05,85.0,36.18,199.1,44.64,6.23,27.6,9.6,46.38,7.92,38.87,10.2,,,,,2.26,,10.0,14.0,,,,,,,5.0,5.0,5.0,5.0,2.5,818.0,10.0,46.0,4138.0,35.0,14.0,5.0,5.0,5.0,1873.0,208.0,5.0,2.5,874.0,11.0,113.0,7119.0,113.0,21.0,20.0,5.0,5.0,9798.0,262.0,5.0,,,0.002,,0.05,,,54200.0,189.09,1418.18,,981.82,127.27,1218.18,,144090.91,1018.18,18.18,,2022,,,,,,,,,,,,,Potosi,5,May,Autumn (Transition),Oxic
Colavi - Canutillos,BC7-113,2022-05-26,10:10,May 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 17.604""","65° 33' 7.584""",-19.3216,-65.5521,0.387,0.0,2315.0,136.4,3.2,192.0,432.0,0.1,6.2,8.03,99.8,73.8,242.0,248.0,27.0,,94.9,0.05,0.05,12.58,137.2,14.45,11.13,1.42,0.69,16.03,13.32,4.82,1.27,,,,,2.75,,2.5,1.0,,,,,,,5.0,5.0,5.0,14.0,2.5,3947.0,20.0,602.0,1058.0,5.0,8.0,5.0,5.0,5.0,22711.0,76.0,5.0,18.0,19863.0,110.0,3047.0,5565.0,11.0,31.0,5.0,5.0,5.0,35901.0,259.0,5.0,,,0.0005,,,518.52,,166925.93,,407.41,,6777.78,851.85,90555.56,666.67,488518.52,589481.48,3333.33,,2022,,,,,,,,,,,,,Potosi,5,May,Autumn (Transition),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2022-05-25,13:30,May 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 8' 52.668""","65° 33' 50.688""",-19.148,-65.5641,0.78,0.0,1966.0,147.2,8.34,-83.4,508.5,0.2,17.3,6.8,99.8,77.0,350.0,330.0,38.0,,236.0,0.2,134.5,3.84,152.4,31.52,36.07,10.45,4.38,32.77,39.32,12.05,5.51,,,,,1.15,,2.5,1.0,,,,,,,5.0,5.0,5.0,5.0,2.5,436.0,2.5,5.0,114.0,5.0,2.5,5.0,5.0,5.0,236.0,94.0,5.0,2.5,571.0,7.0,52.0,216.0,5.0,5.0,5.0,5.0,5.0,4468.0,102.0,5.0,,,0.0005,,,,,2684.21,,,,210.53,131.58,1368.42,,111368.42,3552.63,184.21,,2022,,,,,,,,,,,,,Potosi,5,May,Autumn (Transition),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2022-05-25,11:20,May 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 56.418""","65° 34' 19.632""",-19.1323,-65.5721,1.035,9.0,1240.0,154.9,7.35,-26.9,806.0,0.3,9.6,8.405,102.8,78.3,542.0,478.0,67.0,,168.0,0.05,109.0,119.0,145.1,34.49,15.7,91.31,7.87,37.54,16.0,91.31,8.07,,,,,5.33,,2.5,2.0,,,,,,,5.0,5.0,5.0,5.0,2.5,373.0,2.5,18.0,928.0,31.0,2.5,5.0,5.0,5.0,670.0,1007.0,5.0,2.5,1324.0,2.5,19.0,1766.0,54.0,8.0,5.0,5.0,5.0,3444.0,4843.0,5.0,,,0.0005,,,,,12507.46,,343.28,,57253.73,119.4,14.93,,41402.99,14194.03,,,2022,,,,,,,,,,,,,Potosi,5,May,Autumn (Transition),Oxic
Chuquiago,BCH-060,2023-12-12,11:15,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,21 33 39.90,65 38 50.13,-21.5611,-65.6473,1.733,13.0,910.0,143.2,8.12,-71.0,1098.0,0.5,20.6,6.23,97.7,1650.0,22473.0,882.0,21030.0,3.0,398.0,0.05,140.0,43.0,435.3,80.25,30.05,63.5,11.0,436.3,431.35,114.3,25.89,44.5,0.3,0.23,0.02,3.36,5.74,24.0,32.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,1.0,5.0,25.0,10.0,1.2,0.5,2.5,0.25,50.0,5492.0,3.0,708.0,15756.0,462.0,348.0,2696.0,196.0,7.2,365.0,2.5,0.25,1017980.0,5792.0,13.0,,0.001,0.0005,,0.019,,0.48,128.2,16.83,8.84,,14.27,0.29,16.55,33.67,48406.09,749.22,21.92,,2023,,,,,,150000.0,630.0,100.0,15.0,,,,Potosi,12,December,Summer (Wet),Oxic
La Angostura,BTP-090,2023-12-12,9:40,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,21 30 34.87,65 41 51.65,-21.5097,-65.6977,1.718,3.0,704.0,141.6,8.186,-74.9,1420.0,0.7,20.15,6.2,97.0,1067.0,2209.0,1190.0,1494.0,9.0,472.0,0.05,165.0,51.0,593.1,86.05,86.23,55.68,11.15,117.1,96.98,71.34,14.05,1.6,0.5,2.54,0.05,4.59,6.44,10.0,13.0,,,,,,,5.0,5.0,25.0,25.0,5.0,410.0,5.0,5.0,25.0,2.0,0.25,0.5,2.5,0.25,50.0,3352.0,2.0,25.0,2347.0,29.0,29.0,692.0,20.0,2.3,151.0,2.5,0.25,52978.0,3566.0,2.0,,0.001,0.0005,,0.019,,0.0,463.19,93.61,12.05,,143.24,1.54,19.41,16.73,35460.51,1296.52,16.06,,2023,,,,,,150000.0,150000.0,5.0,10.0,,,,Potosi,12,December,Summer (Wet),Oxic
Cotagaita,BCO-070,2023-12-11,18:00,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,20 49 20.75,65 39 30.11,-20.8224,-65.6584,,,724.0,144.1,7.247,-22.3,1381.0,0.6,24.2,5.88,97.4,1650.0,21355.0,1250.0,20461.0,1.0,679.3,0.05,35.0,32.8,725.8,96.23,83.38,52.26,14.55,126.88,166.85,74.36,21.15,6.9,0.2,0.2,0.01,2.13,2.94,24.0,32.0,,,,,,,5.0,38.0,25.0,25.0,5.0,2260.0,27.0,5.0,86.0,1.0,1.0,0.5,2.5,0.25,200.0,1989.0,0.5,599.0,15867.0,560.0,823.0,5048.0,700.0,18.3,1010.0,10.0,1.7,936237.0,4149.0,15.0,,0.001,0.004,,0.019,,0.73,242.51,48.65,34.16,1.86,105.57,0.85,40.22,29.28,45747.37,665.02,26.05,0.49,2023,,0.08,,,,200.0,36.0,20.0,15.0,,,,Potosi,12,December,Summer (Wet),Oxic
Tumusla,BTU-080,2023-12-11,16:05,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,20 29 14.44,65 37 03.51,-20.4873,-65.6176,1.863,36.0,1493.0,134.7,7.96,-63.1,670.0,0.3,25.1,5.42,90.7,1650.0,16624.0,520.0,15881.0,16.0,246.0,0.05,105.0,26.3,220.0,41.93,28.36,44.48,7.87,93.58,91.55,67.22,15.29,12.1,0.09,0.2,0.01,2.87,3.64,35.0,47.0,,,,,,,5.0,10.0,25.0,25.0,5.0,25.0,0.5,5.0,52.0,1.0,0.25,0.5,2.5,0.25,190.0,1000.0,0.5,497.0,20239.0,514.0,495.0,2830.0,237.0,4.3,545.0,2.5,1.1,1144140.0,1642.0,10.0,,0.001,0.0005,,0.019,,0.63,174.93,33.82,14.86,0.63,40.43,0.27,31.17,31.3,72032.62,1274.42,32.37,,2023,,0.07,,,,85.0,30.0,40.0,19.0,,,,Potosi,12,December,Summer (Wet),Oxic
Yocalla,BYO-025,2023-12-11,9:20,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 1,19 23 45.96,65 54 24.78,-19.3961,-65.9069,1.342,14.0,1274.0,139.25,8.24,-76.1,786.0,0.3,14.4,6.8,99.8,775.0,1619.0,545.0,1116.0,21.0,114.0,0.05,75.0,145.8,60.3,29.74,5.7,101.3,8.85,71.79,20.44,120.1,13.26,2.3,0.6,0.3,0.01,2.38,4.34,11.0,15.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,0.5,5.0,61.0,18.0,0.25,0.5,2.5,0.25,50.0,1180.0,1.0,33.0,659.0,16.0,12.0,105.0,21.0,0.25,16.0,2.5,0.25,35141.0,1311.0,1.0,,0.001,0.0005,,0.019,,0.0,39.43,6.41,2.69,,117.38,,10.75,29.57,31488.35,590.5,14.34,,2023,,,,,,150000.0,540.0,220.0,10.0,,,,Potosi,12,December,Summer (Wet),Oxic
Colavi - Canutillos,BC7-113,2023-12-10,15:15,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 16.82,65 33 06.9,-19.3213,-65.5519,0.473,0.0,1701.5,135.1,5.03,100.2,588.0,0.2,14.9,6.52,100.3,7.33,669.0,617.0,12.0,0.025,10.0,0.05,10.0,6.0,312.9,36.79,36.2,1.93,5.18,38.55,40.07,1.4,5.28,0.4,0.2,0.9,0.01,0.005,5.74,2.5,1.0,,,,,,,5.0,5.0,25.0,25.0,5.0,14367.0,80.0,349.0,2244.0,0.5,8.2,2.0,2.5,0.25,1155.0,157.0,0.5,5.0,16271.0,82.0,361.0,2303.0,0.5,8.3,2.0,2.5,0.25,1393.0,172.0,1.0,,0.001,0.0005,,0.019,,83.33,4916.67,,,,1250.0,8.33,1000.0,,19833.33,158666.67,166.67,,2023,,,,,,0.0,0.0,1.0,1.0,,,,Potosi,12,December,Summer (Wet),Oxic
Tarapaya,BTA-050,2023-12-07,13:35,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.64,65 47 39.51,-19.4718,-65.7943,0.876,1.0,762.0,115.6,7.732,-49.8,1314.0,0.6,22.1,4.88,84.0,319.0,1180.0,927.0,252.0,14.0,357.5,0.05,135.0,87.6,398.9,104.38,15.45,77.58,19.24,109.73,20.66,92.4,22.62,2.8,0.2,22.0,0.01,1.4,15.54,76.0,35.0,,,,,,,5.0,5.0,25.0,25.0,5.0,1927.0,16.0,16.0,1015.0,78.0,1.8,0.5,2.5,0.25,123.0,452.0,2.0,5.0,2428.0,18.0,61.0,6445.0,181.0,7.3,23.0,2.5,0.25,19031.0,567.0,2.0,,0.001,0.0005,,0.24,,0.0,21547.62,14.92,408.73,,456.35,21.83,178.57,,75031.75,1988.1,7.94,,2023,,,,,,202.0,72.0,850.0,16.0,,,,Potosi,12,December,Summer (Wet),Oxic
San Antonio - Potosí,BSA-030,2023-12-07,11:20,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,19 34 41.47,65 48 12.26,-19.5782,-65.8034,0.639,1.0,660.0,126.6,7.869,-57.2,1516.0,0.7,20.4,5.5,94.4,456.0,1299.0,991.0,75.0,30.0,754.7,0.05,215.0,97.4,365.2,65.86,16.17,99.01,46.09,71.84,19.11,101.6,46.95,5.3,0.3,55.7,0.01,3.49,16.94,73.0,176.0,,,,,,,5.0,5.0,25.0,25.0,5.0,3130.0,40.0,88.0,2582.0,26.0,11.3,0.5,2.5,0.25,522.0,457.0,2.0,5.0,3982.0,43.0,311.0,31362.0,221.0,37.1,104.0,2.5,0.25,38956.0,601.0,2.0,,0.001,0.035,,0.28,,0.0,383733.33,772.13,2600.0,,1920.0,344.0,2973.33,,512453.33,11360.0,40.0,,2023,,,,,,63300.0,47000.0,100.0,56.0,,,,Potosi,12,December,Summer (Wet),Oxic
Potosí - Naciente río La Ribera,BNR-010,2023-12-07,8:40,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,"19° 35' 51.41""","65° 43' 52.87""",-19.5976,-65.7314,,,2890.0,82.6,7.24,-24.8,342.0,0.1,9.9,4.42,64.5,1.62,235.0,297.0,58.0,6.0,138.0,0.5,90.0,7.9,89.7,36.72,4.48,14.47,5.57,40.92,4.78,16.87,5.62,0.2,0.2,0.3,0.01,0.66,4.34,2.5,7.0,,,,,,,5.0,5.0,25.0,25.0,5.0,842.0,0.5,5.0,25.0,4.0,0.25,0.5,2.5,0.25,1972.0,490.0,0.5,5.0,845.0,0.5,5.0,25.0,4.0,0.25,0.5,2.5,0.25,2186.0,497.0,0.5,,0.001,0.0005,,,,,,,0.0,,120.69,,,,3689.66,51.72,,,2023,,,,,,30.0,0.0,40.0,6.0,,,,Potosi,12,December,Summer (Wet),Oxic
