Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,DO_mg_per_L,DO_Status,pH,Fe_%,Mn_mg_per_kg,Al_%,S_%,Organic_Matter_%
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Zinc,34.9,137.0,0.137,254.74452554744522,2.406104859802773,6.18,Oxic,8.3,1.75,321.0,0.76,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Arsenic,4.8,18.0,0.018,266.6666666666667,2.425968732272281,6.18,Oxic,8.3,1.95,406.0,0.81,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Cadmium,0.005,0.5,0.0005,10.0,1.0,6.18,Oxic,8.3,1.95,406.0,0.81,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Lead,5.68,36.0,0.036,157.77777777777777,2.1980458349437315,6.18,Oxic,8.3,1.95,406.0,0.81,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,April 2016,2016-04-20,Zinc,11.7,137.0,0.137,85.40145985401459,1.9314652945897548,6.18,Oxic,8.3,1.95,406.0,0.81,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Arsenic,4.6,10.0,0.01,459.99999999999994,2.662757831681574,5.99,Oxic,7.8,2.1,509.0,0.96,0.5,0.7
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Cadmium,0.12,1.0,0.001,120.0,2.0791812460476247,5.99,Oxic,7.8,2.1,509.0,0.96,0.5,0.7
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Lead,12.9,1.0,0.001,12900.0,4.110589710299249,5.99,Oxic,7.8,2.1,509.0,0.96,0.5,0.7
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Zinc,42.4,10.0,0.01,4240.0,3.6273658565927325,5.99,Oxic,7.8,2.1,509.0,0.96,0.5,0.7
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Arsenic,3.9,10.0,0.01,390.0,2.591064607026499,5.99,Oxic,7.8,2.18,438.0,1.08,0.5,0.7
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Cadmium,0.09,1.0,0.001,90.0,1.954242509439325,5.99,Oxic,7.8,2.18,438.0,1.08,0.5,0.7
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Lead,11.5,1.0,0.001,11500.0,4.060697840353612,5.99,Oxic,7.8,2.18,438.0,1.08,0.5,0.7
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,October 2017,2017-10-03,Zinc,37.8,10.0,0.01,3779.9999999999995,3.577491799837225,5.99,Oxic,7.8,2.18,438.0,1.08,0.5,0.7
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Arsenic,6.6,10.0,0.01,660.0,2.8195439355418688,6.44,Oxic,8.295,2.58,635.0,0.99,0.5,0.85
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Cadmium,0.38,0.5,0.0005,760.0,2.8808135922807914,6.44,Oxic,8.295,2.58,635.0,0.99,0.5,0.85
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Lead,13.4,1.0,0.001,13400.0,4.127104798364807,6.44,Oxic,8.295,2.58,635.0,0.99,0.5,0.85
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,August 2017,2017-08-16,Zinc,87.2,41.0,0.041,2126.829268292683,3.3277326282128317,6.44,Oxic,8.295,2.58,635.0,0.99,0.5,0.85
