Station,Campaign,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,pH,Clay_%,Sand_%,Organic_Matter_%,Location
Villamontes,March 2017,Cadmium,0.29,3.0,0.003,96.66666666666666,8.1,2.0,42.23,1.07,Bolivia (Non-Mining)
Villamontes,March 2017,Lead,15.9,236.0,0.236,67.37288135593221,8.1,2.0,42.23,1.07,Bolivia (Non-Mining)
Villamontes,March 2017,Zinc,97.6,561.0,0.561,173.97504456327982,8.1,2.0,42.23,1.07,Bolivia (Non-Mining)
Villamontes,May 2018,Arsenic,2.4,10.0,0.01,240.0,8.4,1.0,93.93,0.17,Bolivia (Non-Mining)
Villamontes,May 2018,Cadmium,0.06,10.0,0.01,6.0,8.4,1.0,93.93,0.17,Bolivia (Non-Mining)
Villamontes,May 2018,Lead,27.6,10.0,0.01,2760.0,8.4,1.0,93.93,0.17,Bolivia (Non-Mining)
Villamontes,May 2018,Zinc,86.1,10.0,0.01,8610.0,8.4,1.0,93.93,0.17,Bolivia (Non-Mining)
Villamontes,May 2018,Arsenic,5.4,10.0,0.01,540.0,8.4,1.0,93.93,0.17,Bolivia (Non-Mining)
Villamontes,May 2018,Cadmium,0.09,10.0,0.01,9.0,8.4,1.0,93.93,0.17,Bolivia (Non-Mining)
Villamontes,May 2018,Lead,10.5,10.0,0.01,1050.0,8.4,1.0,93.93,0.17,Bolivia (Non-Mining)
Villamontes,May 2018,Zinc,40.1,10.0,0.01,4010.0,8.4,1.0,93.93,0.17,Bolivia (Non-Mining)
Villamontes,May 2018,Arsenic,38.5,10.0,0.01,3850.0,8.9,1.0,97.93,0.1,Bolivia (Non-Mining)
Villamontes,May 2018,Cadmium,0.005,10.0,0.01,0.5,8.9,1.0,97.93,0.1,Bolivia (Non-Mining)
Villamontes,May 2018,Lead,107.0,10.0,0.01,10700.0,8.9,1.0,97.93,0.1,Bolivia (Non-Mining)
Villamontes,May 2018,Zinc,40.5,10.0,0.01,4050.0,8.9,1.0,97.93,0.1,Bolivia (Non-Mining)
Villamontes,May 2018,Arsenic,7.5,10.0,0.01,750.0,8.9,1.0,97.93,0.1,Bolivia (Non-Mining)
Villamontes,May 2018,Cadmium,0.04,10.0,0.01,4.0,8.9,1.0,97.93,0.1,Bolivia (Non-Mining)
Villamontes,May 2018,Lead,62.7,10.0,0.01,6270.0,8.9,1.0,97.93,0.1,Bolivia (Non-Mining)
