Station,Campaign,Metal,Sediment_Median_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Sand_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Colavi - Canutillos,December 2022,Cadmium,1.1,1.3,0.0013,846.1538461538463,2.9274493328513884,3.2,2.0,46.4,7.4,7.2,6.053,176.0,,,,,Potosí (Mining Zone)
Colavi - Canutillos,December 2022,Lead,21.1,572.0,0.572,36.888111888111894,1.5668864265046685,3.2,2.0,46.4,7.4,7.2,6.053,176.0,,,,,Potosí (Mining Zone)
Colavi - Canutillos,December 2022,Zinc,71.1,4530.0,4.53,15.695364238410594,1.1957713987169343,3.2,2.0,46.4,7.4,7.2,6.053,176.0,,,,,Potosí (Mining Zone)
Colavi - Canutillos,December 2023,Arsenic,5.915,0.5,0.0005,11830.0,4.072984744627931,5.7,0.0,85.83,0.5,6.52,0.83965,532.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,December 2023,Cadmium,0.124,8.3,0.0083,14.939759036144578,1.1743435927861612,5.7,0.0,85.83,0.5,6.52,0.83965,532.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,December 2023,Lead,15.05,2.0,0.002,7525.0,3.876506504265881,5.7,0.0,85.83,0.5,6.52,0.83965,532.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,December 2023,Zinc,46.400000000000006,2303.0,2.303,20.147633521493706,1.3042240425906497,5.7,0.0,85.83,0.5,6.52,0.83965,532.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,February 2024,Arsenic,25.0,5.0,0.005,5000.0,3.6989700043360187,3.8,24.2,64.6,1.8,7.12,4.8264,885.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,February 2024,Cadmium,5.0,754.0,0.754,6.63129973474801,0.8215986584662447,3.8,24.2,64.6,1.8,7.12,4.8264,885.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,February 2024,Lead,21.0,107.0,0.107,196.26168224299064,2.29283551704871,3.8,24.2,64.6,1.8,7.12,4.8264,885.5,,,,,Potosí (Mining Zone)
