Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Puente Mendez,October 2017,2017-10-02,Arsenic,7.6,22.0,0.022,345.45454545454544,2.538390911458585,8.1,1.0,0.58,8.32,2.12,341.0,1.26,0.5,0.49,0.038,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Cadmium,0.09,1.0,0.001,90.0,1.954242509439325,8.1,1.0,0.58,8.32,2.12,341.0,1.26,0.5,0.49,0.038,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Lead,12.7,5.0,0.005,2540.0,3.404833716619938,8.1,1.0,0.58,8.32,2.12,341.0,1.26,0.5,0.49,0.038,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Zinc,52.3,99.0,0.099,528.2828282828282,2.722866494269724,8.1,1.0,0.58,8.32,2.12,341.0,1.26,0.5,0.49,0.038,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Arsenic,5.6,22.0,0.022,254.54545454545453,2.405765346183994,8.1,1.0,0.58,8.32,1.51,284.0,1.05,0.5,0.45,0.03,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Cadmium,0.12,1.0,0.001,120.0,2.0791812460476247,8.1,1.0,0.58,8.32,1.51,284.0,1.05,0.5,0.45,0.03,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Lead,10.2,5.0,0.005,2039.9999999999998,3.3096301674258988,8.1,1.0,0.58,8.32,1.51,284.0,1.05,0.5,0.45,0.03,Bolivia (Non-Mining)
Puente Mendez,October 2017,2017-10-02,Zinc,41.9,99.0,0.099,423.2323232323232,2.6265788283687455,8.1,1.0,0.58,8.32,1.51,284.0,1.05,0.5,0.45,0.03,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Arsenic,33.8,10.0,0.01,3379.9999999999995,3.5289167002776547,8.1,3.0,0.65,6.94,2.2,375.0,1.13,0.5,0.55,0.038,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Cadmium,0.23,10.0,0.01,23.0,1.3617278360175928,8.1,3.0,0.65,6.94,2.2,375.0,1.13,0.5,0.55,0.038,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Lead,21.0,30.0,0.03,700.0,2.845098040014257,8.1,3.0,0.65,6.94,2.2,375.0,1.13,0.5,0.55,0.038,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Zinc,60.7,192.0,0.192,316.1458333333333,2.499887462371708,8.1,3.0,0.65,6.94,2.2,375.0,1.13,0.5,0.55,0.038,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Arsenic,14.0,10.0,0.01,1400.0,3.146128035678238,8.1,3.0,0.65,6.94,2.72,433.0,1.58,0.5,0.68,0.04,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Cadmium,0.39,10.0,0.01,39.0,1.591064607026499,8.1,3.0,0.65,6.94,2.72,433.0,1.58,0.5,0.68,0.04,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Lead,194.0,30.0,0.03,6466.666666666667,3.8106804752105634,8.1,3.0,0.65,6.94,2.72,433.0,1.58,0.5,0.68,0.04,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Zinc,93.2,192.0,0.192,485.4166666666667,2.6861146836504317,8.1,3.0,0.65,6.94,2.72,433.0,1.58,0.5,0.68,0.04,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Arsenic,13.3,10.0,0.01,1330.0,3.123851640967086,3.7,3.0,0.83,6.94,2.74,427.0,1.19,0.5,0.45,0.038,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Cadmium,0.18,10.0,0.01,18.0,1.255272505103306,3.7,3.0,0.83,6.94,2.74,427.0,1.19,0.5,0.45,0.038,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Lead,23.0,30.0,0.03,766.6666666666667,2.8846065812979305,3.7,3.0,0.83,6.94,2.74,427.0,1.19,0.5,0.45,0.038,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Zinc,71.2,192.0,0.192,370.8333333333333,2.569178764933307,3.7,3.0,0.83,6.94,2.74,427.0,1.19,0.5,0.45,0.038,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Arsenic,12.3,10.0,0.01,1230.0,3.089905111439398,3.7,3.0,0.83,6.94,2.11,365.0,1.18,0.5,0.47,0.037,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Cadmium,0.15,10.0,0.01,15.0,1.1760912590556813,3.7,3.0,0.83,6.94,2.11,365.0,1.18,0.5,0.47,0.037,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Lead,64.8,30.0,0.03,2160.0,3.3344537511509307,3.7,3.0,0.83,6.94,2.11,365.0,1.18,0.5,0.47,0.037,Bolivia (Non-Mining)
Puente Mendez,April 2019,2019-04-22,Zinc,69.5,192.0,0.192,361.9791666666667,2.5586835758865645,3.7,3.0,0.83,6.94,2.11,365.0,1.18,0.5,0.47,0.037,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Arsenic,8.7,89.0,0.089,97.75280898876404,1.9901292459737057,7.83,1.5,0.77,6.62,2.23,348.0,0.89,0.5,0.42,0.037,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Cadmium,0.08,6.0,0.006,13.333333333333334,1.1249387366083,7.83,1.5,0.77,6.62,2.23,348.0,0.89,0.5,0.42,0.037,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Lead,14.0,203.0,0.203,68.9655172413793,1.838631997765025,7.83,1.5,0.77,6.62,2.23,348.0,0.89,0.5,0.42,0.037,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Zinc,46.1,2000.0,2.0,23.05,1.362670929725667,7.83,1.5,0.77,6.62,2.23,348.0,0.89,0.5,0.42,0.037,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Arsenic,8.8,89.0,0.089,98.87640449438203,1.9950926655052559,7.83,1.5,0.77,6.62,1.98,339.0,1.16,0.5,0.45,0.039,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Cadmium,0.09,6.0,0.006,15.0,1.1760912590556813,7.83,1.5,0.77,6.62,1.98,339.0,1.16,0.5,0.45,0.039,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Lead,14.3,203.0,0.203,70.44334975369458,1.8478399995518489,7.83,1.5,0.77,6.62,1.98,339.0,1.16,0.5,0.45,0.039,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Zinc,51.3,2000.0,2.0,25.65,1.409087369447835,7.83,1.5,0.77,6.62,1.98,339.0,1.16,0.5,0.45,0.039,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Arsenic,10.4,89.0,0.089,116.85393258426967,2.0676433326538675,7.99,1.0,0.6,6.62,2.47,406.0,0.82,0.5,0.46,0.049,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Cadmium,0.16,6.0,0.006,26.666666666666668,1.4259687322722812,7.99,1.0,0.6,6.62,2.47,406.0,0.82,0.5,0.46,0.049,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Lead,17.8,203.0,0.203,87.6847290640394,1.942923964395681,7.99,1.0,0.6,6.62,2.47,406.0,0.82,0.5,0.46,0.049,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Zinc,54.7,2000.0,2.0,27.35,1.4369573306694496,7.99,1.0,0.6,6.62,2.47,406.0,0.82,0.5,0.46,0.049,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Arsenic,8.8,89.0,0.089,98.87640449438203,1.9950926655052559,7.99,1.0,0.6,6.62,1.64,290.0,0.69,0.5,0.4,0.038,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Cadmium,0.07,6.0,0.006,11.666666666666668,1.0669467896306133,7.99,1.0,0.6,6.62,1.64,290.0,0.69,0.5,0.4,0.038,Bolivia (Non-Mining)
